Index,Question,Option1,Option2,Option3,Option4,Answer
1, Kind of training which addresses the issues such as lack of interpersonal skills and supervisory skills is classified as,required training,innovative training,problem solving training,developmental training,C
2," Kind of training given to employees about product procedures, customer relations and product knowledge is classified as",innovative training,technical training,interpersonal training,problem solving training,B
3," In an organization, the technique of shifting an individual employee from one job to another is considered as",job retooling,job rethinking,job redesigning,job rotation,D
4, Group of employees in an organization who suggest solutions to the quality and productivity problems is classified as,productivity monitors,suggestion group,idea group,quality circle,D
5, Systematic procedure in which the people contribute in organizational goals achievement by acquiring capabilities is classified as,training,planning,staffing,hiring,A
6, Kind of interviews which creates the anxiety among interviewees by putting the pressure to see how the applicant respond is classified as,panel interview,stress interview,directive interview,non-directive interview,B
7, Type of interview in which the questions are developed from answers given to the previous questions is classified as,panel interview,stress interview,directive interview,non-directive interview,D
8, Kind of interview in which the several interviewers are involved at the same time in interviewing the job applicant is classified as,directive interview,non-directive interview,panel interview,stress interview,C
9, Usage of internet for training the employees of an organization is classified as,compression training,e-learning,outsource learning,supported learning,B
10, Private organizational network which limits the access of information to the authorized users is classified as,informal network,wide area network,extranet,intranet,D
11, Most flexible type of training in which the employees are trained while performing the tasks and responsibilities associated with the job is classified as,informal training,formal training,on the job training,off the job training,C
12," In employee training, the last stage for trainee's on-the-job training is to",present the information,prepare the learners,do the follow up,practice of trainees,C
13,The Basket Training Method means,Development of decision skilled,Development of Institute,Development of Resources,Development of Production,A
14,Which of the following is not a type of interview?,Depth Interview,Interview Rating Firm,Panel Interview,Productive Interview,D
15,The main objects of Training Method is,Introduction of New Technology,To earn money,To obtain property,Accounting,A
