Answer,Index,Question,Option1,Option2,Option3,Option4
A,1,"In management process, the most misinterpreted word is", Organizing, Delegating, Controlling, Planning
D,2,The department(s) that an event management company will have is (are), Creative, Production, Client servicing, All of the above
B,3," Who said, “Management is a multiple purpose organ that manages a business, manages a manager and manages workers and work”?", Harold Konntz, Peter Drucker, Kenneth O ‘Donell, Anonymous
D,4," Under mechanism of scientific management, scientific task setting includes:", Time study, Motion study, Method study, All of the above
C,5, Management as a discipline is the function of________., Science, Art, Creativity, All of the above
A,6, Which theory assumes that people are naturally lazy and will avoid work and responsibilities if possible?, Theory X, Theory Y, Theory Z, None of the above
B,7, Who is the person you have to give importance under the company’s checklist before making call to the consultant., Managers, Employees, Customer, All of the above
A,8, What is one of the most significant inhibitors in customer preference while purchasing perishable items in retail?, Proximity of markets, Customer preference to brands, Both (A) and (B), None of the above
D,9, The objectives in corporate governance are, Growth, Stability, Shareholders value maximization, All of the above
A,10," The word________denotes a function, a task, a discipline.", Management, Leadership, Motivation, None of the above
D,11, The concept of SBU includes," Unrelated products and businesses that are separated,", The fact that each SBU has its own CEO, A scientific method of grouping the business, All of the above
D,12, The factors coming under philosophy of scientific management are:, Co-operation, Maximum output, Harmony, All of the above
B,13, Advantage of delegation of authority results in prompt ________., Understanding, Decision making, Both (A) and (B), None of the above
A,14, Costliness of the ________ is the overriding factor determining the extent of decentralization., Decision, Staffing, Controlling, Managing
A,15, Which law states that ‘you get what you deserve and not what you desire’?, Law of destiny, Law of Karma, Law of vision, Law of peace
B,16, Positive motivation makes people willing to do their work in the best way they can and improve their ________., Skills, Performance, Both (A) and (B), None of the above
B,17,______ is a tool for corporate governance., Management, Communication, Coordination, All of the above
B,18,Who is the father of the three-needs theory?, Vroom, McClelland, Peter Drucker, None of the above
D,19,The non-financial type of motivators would be, Encouragement, Freedom, Recognition, All of the above
B,20, Learning organizations are adaptive to their________environment., Internal, External, Work, None of the above
D,21, Fedrick Winslow Taylor’s Mechanism of Scientific Management includes, Scientific task setting, Planning the task, Standardization of tools and equipments, All of the above
A,22," Under the principles of effective ______, it is said that never delegate and disappear.", Delegation, Management, Organisation, Centralisation
B,23," The higher the ________ level of the employee, the lower the job satisfaction.", Managerial, Educational, Satisfaction, None of the above
A,24,________ is the result of human limitation to the span of management., Delegation, Satisfaction, Motivation, Development
B,25, The different A’s of the service sector are," Acceptability, Awareness, Answerability"," Acceptability, Awareness, Availability"," Administration, Awareness, Availability"," Acceptability, Acknowledgement, Availability"
D,26, The external factor(s) that limit control is (are), govt. policies, Market changes, Economic changes, All of the above
D,27, Communication barrier(s) in the international environment is (are), Loss by transmission, Loss by poor retention, Poor listening, All of the above
B,28, Management is a creative and________process., Systematic, Continuous, Long, None of the above
D,29, The old control technique(s) which were used through years is (are), Unity of policies, Break-even analysis, Budgetary control, All of the above
A,30, What does a mission statement specify that the organization will achieve?, Goals, Profit, Both (A) and (B), None of the above
B,31, ______ is a process of influencing people., Motivation, Leadership, Delegation, Controlling
D,32, The following is (are) the element(s) of control, Authority and knowledge, Guidance and direction, Constraint and restraint, All of the above
A,33, Which type of strategies do professional managers help organizations in chalking out?, Corporate, Multi-disciplinary, Both (A) and (B), None of the above
D,34, Limitation of control is (are), External factors, Fixing of responsibility, Internal factors, Both (A) and (B)
A,35, MBO was invented by ________., Peter Drucker, Koontz & O ‘Donell, Henry Fayol, None of the above
D,36, The relationship(s) for selecting the span of control would be:, One to one, Cross relationship, Direct group, All of the above
A,37," Management is said to be the combination of three factors, arts, science and the third is", Profession, Authority, Communication, None of the above
C,38, One of the popular forecast is, Technological, Economic, Demand, None of the above
A,39, Events are occurrences designed for ________ interests., Marketing, Customer, Both (A) and (B), Company
D,40, Limitation(s) of business planning is (are), Time Consuming, Expensive device, Heavy cost of planning, All of the above
